distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,totalCost,totalWaste,transportationCost
0.55,158.0,90.0,0.0,11.0,0.98,0.8127918367346813,0.98,0.5,9.740068615396035,10.173199999999996,2.5
0.55,180.0,90.0,0.0,11.0,1.0,0.8083559999999862,1.0,0.5,9.46595066745831,9.582199999999993,2.5
0.55,166.0,90.0,0.0,11.0,0.96,0.8154958333333197,0.96,0.5,8.645094227829993,10.856199999999967,2.5
0.55,159.0,90.0,0.0,11.0,0.98,0.7993612244897826,0.98,0.5,8.337541275855934,10.831299999999981,2.5
0.55,159.0,90.0,0.0,9.0,0.96,0.8034479166666539,0.96,0.5,7.544943079272488,11.434499999999987,2.5
0.55,160.0,90.0,0.0,14.0,0.96,0.8125541666666529,0.96,0.5,7.050773303734425,10.997399999999972,2.0
0.55,171.0,90.0,0.0,11.0,1.0,0.8103739999999868,1.0,0.5,7.742354409863413,9.481299999999994,2.0
0.55,161.0,90.0,0.0,11.0,0.98,0.8177918367346804,0.98,0.5,7.4147319004145045,9.92819999999999,2.0
0.55,169.0,90.0,0.0,14.0,0.96,0.7977354166666535,0.96,0.5,6.840340398259536,11.708699999999979,2.0
0.55,166.0,90.0,0.0,12.0,1.0,0.8370459999999866,1.0,0.5,8.081324448726283,8.147700000000002,2.0
0.55,168.0,90.0,0.0,12.0,0.96,0.8206145833333198,0.96,0.5,7.8743048607057995,10.610499999999986,2.0
0.55,164.0,90.0,0.0,12.0,0.96,0.8071687499999873,0.96,0.5,7.495283011542496,11.255899999999993,2.0
0.55,164.0,90.0,0.0,11.0,0.94,0.8064085106382843,0.94,0.5,7.30620528240196,12.098799999999954,2.0
0.55,160.0,90.0,0.0,10.0,0.98,0.8209489795918232,0.98,0.5,8.68616107147709,9.773499999999984,2.0
0.55,154.0,90.0,0.0,10.0,0.94,0.8192851063829653,0.94,0.5,7.0713502582924805,11.493599999999978,2.0
0.55,169.0,90.0,0.0,9.0,0.98,0.8209244897959049,0.98,0.5,7.417337648308415,9.774699999999985,2.0
0.55,166.0,90.0,0.0,12.0,0.96,0.8016020833333206,0.96,0.5,7.767471100588049,11.523099999999966,2.0
0.55,155.0,90.0,0.0,14.0,0.98,0.8133408163265169,0.98,0.5,6.674810991956499,10.14629999999998,2.0
0.55,165.0,90.0,0.0,10.0,0.98,0.8141285714285579,0.98,0.5,7.613978187963627,10.1077,2.0
0.55,153.0,90.0,0.0,11.0,0.96,0.7921437499999873,0.96,0.5,6.715993308176827,11.977099999999975,2.0
0.55,159.0,90.0,0.0,10.0,0.94,0.8127702127659447,0.94,0.5,7.548693908369606,11.799799999999983,2.0
0.55,164.0,90.0,0.0,9.0,0.98,0.8006265306122318,0.98,0.5,10.090306858608008,10.769299999999985,2.0
0.55,163.0,90.0,0.0,11.0,0.96,0.8265354166666534,0.96,0.5,7.117169758472157,10.326299999999986,2.0
0.55,163.0,90.0,0.0,14.0,0.98,0.7963285714285585,0.98,0.5,6.982726595328787,10.979899999999995,2.0
0.55,164.0,90.0,0.0,9.0,0.98,0.8016673469387626,0.98,0.5,7.92033651912047,10.718299999999982,2.0
0.55,154.0,90.0,0.0,10.0,0.98,0.7940755102040684,0.98,0.5,7.381664190853968,11.090299999999985,2.0
0.55,169.0,90.0,0.0,12.0,0.98,0.8266265306122316,0.98,0.5,7.216336372393536,9.495299999999995,2.0
0.55,154.0,90.0,0.0,10.0,0.94,0.8162893617021149,0.94,0.5,8.820584294710333,11.634399999999989,2.0
0.55,152.0,90.0,0.0,9.0,0.96,0.8367104166666537,0.96,0.5,7.1879647077002,9.83789999999999,1.5
0.55,184.0,90.0,0.0,6.0,0.98,0.800975510204069,0.98,0.5,8.63790641698787,10.752199999999982,2.0
0.55,153.0,90.0,0.0,12.0,0.98,0.8129285714285582,0.98,0.5,6.183098063393868,10.166499999999983,1.5
0.55,163.0,90.0,0.0,9.0,0.98,0.8291775510203949,0.98,0.5,7.193790883275013,9.370299999999986,1.5
0.55,179.0,90.0,0.0,10.0,0.98,0.8308306122448842,0.98,0.5,6.822076511782456,9.289299999999981,1.5
0.55,150.0,90.0,0.0,10.0,0.96,0.8162458333333201,0.96,0.5,6.986589545537433,10.820199999999994,1.5
0.55,180.0,90.0,0.0,14.0,0.98,0.8134040816326397,0.98,0.5,7.138137845916722,10.143199999999988,2.0
0.55,163.0,90.0,0.0,10.0,1.0,0.8161619999999868,1.0,0.5,6.322291444421343,9.191899999999997,1.5
0.55,169.0,90.0,0.0,9.0,0.98,0.821099999999987,0.98,0.5,6.86429793292036,9.76609999999999,1.5
0.55,163.0,90.0,0.0,15.0,1.0,0.7979359999999868,1.0,0.5,6.644263782975357,10.103199999999996,1.5
0.55,197.0,90.0,0.0,10.0,0.96,0.8436145833333196,0.96,0.5,7.130614691123724,9.506499999999987,1.5
0.55,160.0,90.0,0.0,10.0,1.0,0.8119899999999859,1.0,0.5,6.685253781622343,9.400499999999994,1.5
0.55,169.0,90.0,0.0,8.0,0.96,0.8153166666666536,0.96,0.5,7.279050551665411,10.864799999999992,1.5
0.55,159.0,90.0,0.0,16.0,1.0,0.8084219999999869,1.0,0.5,4.977698174394363,9.578899999999992,1.5
0.55,165.0,90.0,0.0,10.0,0.98,0.8207489795918237,0.98,0.5,5.937667454313696,9.783299999999981,1.5
0.55,172.0,90.0,0.0,12.0,1.0,0.8226879999999867,1.0,0.5,7.1702962623506235,8.865600000000004,1.5
0.55,176.0,90.0,0.0,10.0,0.96,0.8139354166666538,0.96,0.5,6.498942522267517,10.931099999999962,1.5
0.55,194.0,90.0,0.0,7.0,1.0,0.8173899999999868,1.0,0.5,7.861240228567144,9.1305,1.5
0.55,175.0,90.0,0.0,14.0,0.96,0.8289791666666532,0.96,0.5,7.021524391541725,10.208999999999975,1.5
0.55,169.0,90.0,0.0,8.0,1.0,0.8033839999999873,1.0,0.5,6.040476225673131,9.830799999999995,1.5
0.55,152.0,90.0,0.0,14.0,0.96,0.8136229166666533,0.96,0.5,7.640632310063271,10.946099999999971,1.5
0.55,187.0,90.0,0.0,8.0,1.0,0.8179599999999866,1.0,0.5,6.939088399463883,9.102,1.5
0.55,162.0,90.0,0.0,10.0,0.98,0.812971428571415,0.98,0.5,6.912065405538027,10.164399999999993,1.5
0.55,175.0,90.0,0.0,10.0,0.98,0.8160897959183543,0.98,0.5,7.172167353290517,10.0116,1.5
0.55,161.0,90.0,0.0,12.0,0.98,0.827940816326517,0.98,0.5,5.771360199485202,9.430900000000003,1.5
0.55,159.0,90.0,0.0,10.0,0.98,0.8154673469387623,0.98,0.5,6.433710048248206,10.042099999999985,1.5
0.55,163.0,90.0,0.0,3.0,0.96,0.8188229166666537,0.96,0.5,5.077283583381021,10.696499999999993,1.0
0.55,172.0,90.0,0.0,12.0,1.0,0.8286179999999861,1.0,0.5,6.392702385359669,8.5691,1.5
0.55,167.0,90.0,0.0,8.0,1.0,0.8376219999999868,1.0,0.5,5.919907519229474,8.1189,1.0
0.55,180.0,90.0,0.0,7.0,0.98,0.8193673469387623,0.98,0.5,5.297678215541806,9.850999999999996,1.0
0.55,168.0,90.0,0.0,7.0,0.98,0.8106918367346811,0.98,0.5,4.77452320008183,10.276099999999984,1.0
0.55,170.0,90.0,0.0,6.0,0.98,0.8371122448979459,0.98,0.5,5.106742414155112,8.981499999999988,1.0
0.55,166.0,90.0,0.0,11.0,0.98,0.8357122448979455,0.98,0.5,5.075801916567698,9.0501,1.0
0.55,169.0,90.0,0.0,5.0,1.0,0.8466639999999868,1.0,0.5,6.427182571526261,7.666800000000006,1.0
0.55,179.0,90.0,0.0,5.0,1.0,0.8345279999999871,1.0,0.5,6.180044650981367,8.273599999999998,1.0
0.55,172.0,90.0,0.0,6.0,0.98,0.8142836734693745,0.98,0.5,5.374575753451895,10.100100000000001,1.0
0.55,172.0,90.0,0.0,7.0,1.0,0.8322939999999864,1.0,0.5,4.8047783827428105,8.385299999999999,1.0
0.55,152.0,90.0,0.0,11.0,0.98,0.847430612244884,0.98,0.5,4.701523626826838,8.475899999999998,1.0
0.55,165.0,90.0,0.0,7.0,0.98,0.8354591836734562,0.98,0.5,4.714405659630169,9.06249999999999,1.0
0.55,173.0,90.0,0.0,8.0,0.98,0.8364755102040683,0.98,0.5,5.035793883377808,9.012699999999992,1.0
0.55,159.0,90.0,0.0,7.0,1.0,0.8230179999999868,1.0,0.5,5.035696775272353,8.849100000000002,1.0
0.55,161.0,90.0,0.0,9.0,0.98,0.83509795918366,0.98,0.5,5.086271213204447,9.0802,1.0
0.55,163.0,90.0,0.0,3.0,0.98,0.8027877551020288,0.98,0.5,5.261652795944976,10.663399999999985,1.0
0.55,164.0,90.0,0.0,7.0,1.0,0.8359719999999872,1.0,0.5,5.57469351769349,8.201400000000007,1.0
0.55,158.0,90.0,0.0,9.0,1.0,0.8230739999999872,1.0,0.5,5.7002831089350074,8.846299999999998,1.0
