distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,relativeCost,totalCost,totalWaste,transportationCost
0.6,100.0,85.0,0.0,6.0,1.0,0.8552019999999846,1.0,0.5,3.841817624089789,1.9209088120448936,0.14479800000000023,0.5
0.6,100.0,85.0,0.0,7.0,0.98,0.8474938775510064,0.98,0.5,3.523830735282134,1.7619153676410673,0.1694560000000002,0.5
0.6,100.0,85.0,0.0,12.0,0.94,0.8280723404255175,0.94,0.5,1.8715608103442667,6.550462836204934,0.22161199999999923,3.5
0.6,100.0,85.0,0.0,9.0,0.98,0.830540816326516,0.98,0.5,2.1640292380494515,7.57410233317308,0.18606999999999993,3.5
0.6,100.0,85.0,0.0,14.0,0.92,0.8112173913043333,0.92,0.5,2.1361988398071294,7.476695939324953,0.2536799999999991,3.5
0.6,100.0,85.0,0.0,5.0,0.94,0.8671999999999843,0.94,0.5,2.6607131858497213,1.3303565929248606,0.1848319999999996,0.5
0.6,100.0,85.0,0.0,10.0,0.98,0.8201142857142709,0.98,0.5,1.8288155074157906,6.400854275955269,0.19628799999999974,3.5
0.6,100.0,85.0,0.0,11.0,0.96,0.8201312499999852,0.96,0.5,1.856410882386436,6.497438088352524,0.21267399999999959,3.5
0.6,100.0,85.0,0.0,3.0,0.96,0.8600374999999847,0.96,0.5,4.131402396960377,2.065701198480189,0.17436399999999988,0.5
0.6,100.0,85.0,0.0,7.0,0.94,0.8748914893616874,0.94,0.5,3.722889724024152,1.8614448620120754,0.1776019999999994,0.5
0.6,100.0,85.0,0.0,5.0,0.98,0.8691204081632506,0.98,0.5,4.811449724195968,2.4057248620979834,0.148262,0.5
0.6,100.0,85.0,0.0,8.0,0.98,0.8613755102040667,0.98,0.5,4.098880513743812,2.049440256871906,0.15585200000000007,0.5
0.6,100.0,85.0,0.0,5.0,0.96,0.8645291666666521,0.96,0.5,4.754022158641062,2.377011079320531,0.17005199999999993,0.5
0.6,100.0,85.0,0.0,9.0,0.96,0.880220833333318,0.96,0.5,3.5162924783709864,1.7581462391854934,0.15498799999999963,0.5
0.6,100.0,85.0,0.0,7.0,0.94,0.861472340425516,0.94,0.5,3.818040044653343,1.9090200223266718,0.19021599999999936,0.5
0.6,100.0,85.0,0.0,5.0,0.94,0.863021276595729,0.94,0.5,3.4220533994376403,1.71102669971882,0.18875999999999934,0.5
0.6,100.0,85.0,0.0,11.0,0.94,0.8620914893616871,0.94,0.5,3.2050985513150327,1.6025492756575168,0.18963399999999936,0.5
0.6,100.0,85.0,0.0,8.0,0.92,0.8578304347825932,0.92,0.5,2.8540184771130335,1.4270092385565163,0.21079599999999954,0.5
0.6,100.0,85.0,0.0,6.0,0.98,0.8618224489795766,0.98,0.5,3.594437573112952,1.7972187865564762,0.1554139999999999,0.5
0.6,100.0,85.0,0.0,5.0,1.0,0.8650899999999854,1.0,0.5,4.136345952239404,2.0681729761197016,0.1349100000000002,0.5
0.6,100.0,85.0,0.0,3.0,1.0,0.8546259999999849,1.0,0.5,4.743602203336603,2.371801101668301,0.1453740000000002,0.5
0.6,100.0,85.0,0.0,6.0,0.94,0.8275021276595603,0.94,0.5,4.158802233992039,2.07940111699602,0.222148,0.5
0.6,100.0,85.0,0.0,6.0,0.98,0.8414510204081491,0.98,0.5,4.420555233424993,2.2102776167124962,0.17537799999999987,0.5
0.6,100.0,85.0,0.0,6.0,0.98,0.8660877551020251,0.98,0.5,4.00274465665625,2.001372328328125,0.15123399999999987,0.5
0.6,100.0,85.0,0.0,4.0,0.96,0.8461312499999852,0.96,0.5,4.034537125892173,2.0172685629460867,0.18771399999999996,0.5
0.6,100.0,85.0,0.0,5.0,1.0,0.8460339999999856,1.0,0.5,4.086621582811364,2.0433107914056814,0.1539660000000002,0.5
0.6,100.0,85.0,0.0,6.0,0.94,0.871125531914878,0.94,0.5,3.9469655220034423,1.9734827610017212,0.18114199999999936,0.5
0.6,100.0,85.0,0.0,6.0,0.96,0.8604479166666521,0.96,0.5,3.9434838498921714,1.9717419249460855,0.17396999999999957,0.5
0.6,100.0,85.0,0.0,3.0,0.96,0.8429416666666513,0.96,0.5,3.7335719607267075,1.8667859803633533,0.190776,0.5
0.6,100.0,85.0,0.0,4.0,0.94,0.849008510638283,0.94,0.5,4.017137507106367,2.0085687535531833,0.20193199999999925,0.5
0.6,100.0,85.0,0.0,6.0,1.0,0.8461639999999854,1.0,0.5,4.086336094403597,2.043168047201799,0.15383600000000017,0.5
0.6,100.0,85.0,0.0,7.0,0.98,0.8557612244897801,0.98,0.5,3.351637965282662,1.6758189826413308,0.16135400000000008,0.5
0.6,100.0,85.0,0.0,6.0,0.96,0.8462541666666518,0.96,0.5,4.480526983692005,2.240263491846003,0.1875959999999996,0.5
0.6,100.0,85.0,0.0,5.0,1.0,0.8643419999999845,1.0,0.5,4.206839709522798,2.1034198547613987,0.13565800000000036,0.5
0.6,100.0,85.0,0.0,11.0,1.0,0.8661859999999844,1.0,0.5,3.3668843651889766,1.6834421825944883,0.1338140000000002,0.5
0.6,100.0,85.0,0.0,14.0,0.92,0.8687565217391152,0.92,0.5,3.5565074406946366,1.7782537203473183,0.2007439999999991,0.5
0.6,100.0,85.0,0.0,6.0,0.94,0.8696936170212618,0.94,0.5,4.236925287852037,2.118462643926019,0.1824879999999996,0.5
0.6,100.0,85.0,0.0,6.0,0.94,0.8610957446808363,0.94,0.5,3.199608447576663,1.5998042237883316,0.19056999999999974,0.5
0.6,100.0,85.0,0.0,9.0,0.92,0.877969565217376,0.92,0.5,3.492216795700572,1.746108397850286,0.19226799999999977,0.5
0.6,100.0,85.0,0.0,7.0,1.0,0.8419579999999857,1.0,0.5,3.897047108170034,1.9485235540850165,0.15804200000000004,0.5
0.6,100.0,85.0,0.0,5.0,0.98,0.8547428571428421,0.98,0.5,4.181989353902389,2.090994676951194,0.162352,0.5
0.6,100.0,85.0,0.0,7.0,0.94,0.8707425531914744,0.94,0.5,3.825670288833048,1.9128351444165235,0.18150199999999972,0.5
0.6,100.0,85.0,0.0,7.0,0.96,0.8549937499999848,0.96,0.5,4.091770416275409,2.045885208137704,0.17920599999999953,0.5
0.6,100.0,85.0,0.0,7.0,0.92,0.8576673913043329,0.92,0.5,3.8114071942782632,1.9057035971391316,0.21094599999999972,0.5
0.6,100.0,85.0,0.0,17.0,0.92,0.8304521739130288,0.92,0.47500000000000003,1.816238017928515,6.356833062749804,0.23598399999999894,3.5
0.6,100.0,85.0,0.0,11.0,0.9,0.8345177777777617,0.9,0.47500000000000003,1.8601543527569062,6.51054023464917,0.24893399999999904,3.5
0.6,100.0,85.0,0.0,14.0,0.96,0.8475249999999841,0.96,0.47500000000000003,1.906976680891899,6.674418383121647,0.18637599999999954,3.5
0.6,100.0,85.0,0.0,6.0,1.0,0.8582359999999855,1.0,0.5,4.2113187287786005,2.105659364389301,0.14176400000000022,0.5
0.6,100.0,85.0,0.0,13.0,0.96,0.8228749999999851,0.96,0.47500000000000003,1.860751585681259,6.512630549884406,0.21003999999999956,3.5
0.6,100.0,85.0,0.0,5.0,0.96,0.864979166666652,0.96,0.5,4.063976305848403,2.031988152924201,0.16961999999999972,0.5
0.6,100.0,85.0,0.0,12.0,0.94,0.811997872340411,0.94,0.47500000000000003,1.687782759179588,5.907239657128555,0.23672199999999932,3.5
0.6,100.0,85.0,0.0,11.0,0.96,0.817664583333319,0.96,0.47500000000000003,2.0317824937352715,7.111238728073451,0.21504199999999965,3.5
0.6,100.0,85.0,0.0,4.0,0.98,0.8334122448979443,0.98,0.5,4.398765512450826,2.199382756225414,0.18325599999999984,0.5
0.6,100.0,85.0,0.0,13.0,0.98,0.820051020408148,0.98,0.47500000000000003,1.6671122341544233,5.834892819540482,0.19634999999999977,3.5
0.6,100.0,85.0,0.0,14.0,0.98,0.8218122448979447,0.98,0.47500000000000003,2.089652294948076,7.313783032318265,0.19462399999999966,3.5
0.6,100.0,85.0,0.0,12.0,0.94,0.8265255319148788,0.94,0.47500000000000003,1.4854396440219075,5.199038754076676,0.22306599999999985,3.5
0.6,100.0,85.0,0.0,13.0,0.96,0.807154166666653,0.96,0.47500000000000003,2.00728374228791,7.0254930980076855,0.22513199999999953,3.5
0.6,100.0,85.0,0.0,14.0,0.92,0.8283586956521595,0.92,0.47500000000000003,1.5227834810249476,5.329742183587314,0.23790999999999915,3.5
0.6,100.0,85.0,0.0,10.0,0.96,0.821856249999985,0.96,0.47500000000000003,1.6611022825162887,5.813857988807011,0.2110179999999998,3.5
0.6,100.0,85.0,0.0,15.0,0.94,0.8091914893616874,0.94,0.47500000000000003,1.5735989019804177,5.507596156931465,0.2393599999999992,3.5
0.6,100.0,85.0,0.0,6.0,0.98,0.8541979591836587,0.98,0.5,4.041201685717401,2.0206008428587,0.1628860000000001,0.5
0.6,100.0,85.0,0.0,7.0,0.96,0.8236166666666512,0.96,0.47500000000000003,1.8065610690461513,6.322963741661527,0.2093279999999998,3.5
0.6,100.0,85.0,0.0,14.0,0.94,0.8122127659574321,0.94,0.47500000000000003,1.46721998292362,5.135269940232672,0.23651999999999923,3.5
0.6,100.0,85.0,0.0,10.0,0.92,0.825502173913029,0.92,0.47500000000000003,1.8696828436061113,6.54388995262139,0.24053799999999942,3.5
0.6,100.0,85.0,0.0,15.0,0.9,0.8244777777777633,0.9,0.47500000000000003,1.4183720377276792,4.9643021320468765,0.25796999999999876,3.5
0.6,100.0,85.0,0.0,10.0,0.96,0.814204166666653,0.96,0.47500000000000003,1.770041543983215,6.195145403941249,0.21836399999999942,3.5
0.6,100.0,85.0,0.0,14.0,0.98,0.809567346938761,0.98,0.47500000000000003,1.6405144162794412,5.741800456978047,0.20662399999999967,3.5
0.6,100.0,85.0,0.0,10.0,0.98,0.8161489795918218,0.98,0.47500000000000003,1.8608551156492195,6.512992904772268,0.20017399999999974,3.5
0.6,100.0,85.0,0.0,15.0,0.9,0.8121377777777639,0.9,0.47500000000000003,1.7398618073878425,6.089516325857451,0.26907599999999865,3.5
0.6,100.0,85.0,0.0,13.0,0.9,0.8173266666666524,0.9,0.47500000000000003,1.5244182296360695,5.3354638037262445,0.26440599999999886,3.5
